product_name,category,key_ingredients,target_market,innovation_description,forecasted_yearly_revenue,forecasted_margin_pct,forecasted_yearly_profit,forecast_confidence,model_version,forecasted_monthly_revenue,forecasted_monthly_profit,break_even_months,roi_pct,market_potential_score,estimated_cac,estimated_clv,profitability_index,risk_level,investment_recommendation,analysis_context_trending_tags,analysis_context_top_product_gaps,analysis_context_top_ingredients,analysis_context_top_categories,analysis_context_top_brands,analysis_context_supply_types
Skin-Like Tint Drops,Makeup,"Collagen, Hyaluronic Acid",Gen Z & Minimalist Consumers,Sheer-coverage foundation alternative with skin-plumping actives that adapt to natural skin texture,45200000,0.52,23504000,Medium,Enhanced_ML_v2.0,3766666.67,1958666.67,12.8,234.04,High,2850,47500,0.42,Medium Risk,Recommended,"['makeup', 'shorts', 'makeup tutorial', 'beauty', 'hair']","['lipstick', 'blush', 'foundation', 'concealer', 'eyeliner']","['natural', 'vitamin c', 'vegan', 'collagen', 'organic']","['Serum', 'Mascara', 'Face Oil', 'Highlighter', 'Face Mask']","['Milk Makeup', 'Make Up For Ever', 'Kiehl's', 'NARS', 'E.l.f.']","['skincare', 'cosmetics', 'haircare']"
Vegan Lip Cloud Liquid Lipstick,Makeup,"Jojoba Oil, Plant Waxes",Vegan Beauty Enthusiasts,Weightless matte liquid lip with moisturizing botanical oils in recyclable packaging,28750000,0.48,13800000,High,Enhanced_ML_v2.0,2395833.33,1150000,10.4,138.0,High,2200,38500,0.48,Low Risk,Highly Recommended,"['makeup', 'shorts', 'makeup tutorial', 'beauty', 'hair']","['lipstick', 'blush', 'foundation', 'concealer', 'eyeliner']","['natural', 'vitamin c', 'vegan', 'collagen', 'organic']","['Serum', 'Mascara', 'Face Oil', 'Highlighter', 'Face Mask']","['Milk Makeup', 'Make Up For Ever', 'Kiehl's', 'NARS', 'E.l.f.']","['skincare', 'cosmetics', 'haircare']"
Multi-Blush Gel Balm,Makeup,"Natural Fruit Pigments, Vitamin E",TikTok Trend Followers,"Viral color-changing gel formula works on cheeks, lips & eyes with built-in cooling applicator",67500000,0.55,37125000,High,Enhanced_ML_v2.0,5625000,3093750,8.2,371.25,High,3500,72000,0.52,Low Risk,Highly Recommended,"['makeup', 'shorts', 'makeup tutorial', 'beauty', 'hair']","['lipstick', 'blush', 'foundation', 'concealer', 'eyeliner']","['natural', 'vitamin c', 'vegan', 'collagen', 'organic']","['Serum', 'Mascara', 'Face Oil', 'Highlighter', 'Face Mask']","['Milk Makeup', 'Make Up For Ever', 'Kiehl's', 'NARS', 'E.l.f.']","['skincare', 'cosmetics', 'haircare']"
Hair Repair Peptide Mask,Haircare,"Peptides, Argan Oil, Keratin",Damaged Hair Sufferers,At-home bond-building treatment with clinical-level repair molecules in sustainable format,38900000,0.58,22562000,Medium,Enhanced_ML_v2.0,3241666.67,1880166.67,11.6,225.62,Medium,2950,52000,0.46,Medium Risk,Recommended,"['makeup', 'shorts', 'makeup tutorial', 'beauty', 'hair']","['lipstick', 'blush', 'foundation', 'concealer', 'eyeliner']","['natural', 'vitamin c', 'vegan', 'collagen', 'organic']","['Serum', 'Mascara', 'Face Oil', 'Highlighter', 'Face Mask']","['Milk Makeup', 'Make Up For Ever', 'Kiehl's', 'NARS', 'E.l.f.']","['skincare', 'cosmetics', 'haircare']"
Green Therapy Biodegradable Mask,Skincare,"Green Tea, Aloe Vera",Eco-Conscious Millennials,Compostable sheet mask infused with antioxidant-rich botanicals in plastic-free packaging,22300000,0.45,10035000,Low,Enhanced_ML_v2.0,1858333.33,836250,18.4,100.35,Low,2600,35000,0.38,High Risk,Not Recommended,"['makeup', 'shorts', 'makeup tutorial', 'beauty', 'hair']","['lipstick', 'blush', 'foundation', 'concealer', 'eyeliner']","['natural', 'vitamin c', 'vegan', 'collagen', 'organic']","['Serum', 'Mascara', 'Face Oil', 'Highlighter', 'Face Mask']","['Milk Makeup', 'Make Up For Ever', 'Kiehl's', 'NARS', 'E.l.f.']","['skincare', 'cosmetics', 'haircare']"
Glow Switch Serum Highlighter,Makeup,"Vitamin C, Sea Minerals",Makeup Artists,Buildable serum-to-powder highlighter with skincare benefits and adjustable finish (dewy to metallic),52800000,0.62,32736000,High,Enhanced_ML_v2.0,4400000,2728000,9.6,327.36,High,3200,68500,0.55,Low Risk,Highly Recommended,"['makeup', 'shorts', 'makeup tutorial', 'beauty', 'hair']","['lipstick', 'blush', 'foundation', 'concealer', 'eyeliner']","['natural', 'vitamin c', 'vegan', 'collagen', 'organic']","['Serum', 'Mascara', 'Face Oil', 'Highlighter', 'Face Mask']","['Milk Makeup', 'Make Up For Ever', 'Kiehl's', 'NARS', 'E.l.f.']","['skincare', 'cosmetics', 'haircare']"
Clean Pulse Fragrance Mist,Fragrance,"Essential Oils, Coconut Water",Natural Scent Seekers,Alcohol-free body perfume with skin-nourishing ingredients and mood-enhancing aromatherapy blends,34600000,0.68,23528000,Medium,Enhanced_ML_v2.0,2883333.33,1960666.67,8.8,235.28,Medium,2800,58000,0.58,Medium Risk,Recommended,"['makeup', 'shorts', 'makeup tutorial', 'beauty', 'hair']","['lipstick', 'blush', 'foundation', 'concealer', 'eyeliner']","['natural', 'vitamin c', 'vegan', 'collagen', 'organic']","['Serum', 'Mascara', 'Face Oil', 'Highlighter', 'Face Mask']","['Milk Makeup', 'Make Up For Ever', 'Kiehl's', 'NARS', 'E.l.f.']","['skincare', 'cosmetics', 'haircare']"
Lash Oxygen Mascara,Makeup,"Bamboo Extract, Castor Oil",Contact Lens Wearers,"Ultra-light tubing formula that mimics lash extensions with breathable, plant-based polymers",41200000,0.51,21012000,Medium,Enhanced_ML_v2.0,3433333.33,1751000,12.2,210.12,Medium,2750,46000,0.44,Medium Risk,Recommended,"['makeup', 'shorts', 'makeup tutorial', 'beauty', 'hair']","['lipstick', 'blush', 'foundation', 'concealer', 'eyeliner']","['natural', 'vitamin c', 'vegan', 'collagen', 'organic']","['Serum', 'Mascara', 'Face Oil', 'Highlighter', 'Face Mask']","['Milk Makeup', 'Make Up For Ever', 'Kiehl's', 'NARS', 'E.l.f.']","['skincare', 'cosmetics', 'haircare']"
No-Makeup Color Correcting Serum,Skincare,"Niacinamide, Licorice Root",Skincare-First Consumers,Tinted treatment serum that neutralizes discoloration while improving skin health over time,48900000,0.56,27384000,High,Enhanced_ML_v2.0,4075000,2282000,10.8,273.84,High,3100,62500,0.49,Low Risk,Highly Recommended,"['makeup', 'shorts', 'makeup tutorial', 'beauty', 'hair']","['lipstick', 'blush', 'foundation', 'concealer', 'eyeliner']","['natural', 'vitamin c', 'vegan', 'collagen', 'organic']","['Serum', 'Mascara', 'Face Oil', 'Highlighter', 'Face Mask']","['Milk Makeup', 'Make Up For Ever', 'Kiehl's', 'NARS', 'E.l.f.']","['skincare', 'cosmetics', 'haircare']"
Body Sculpt Pro Serum,Body Care,"Caffeine, Vegan Retinol Alternative",30+ Body Care Market,"Firming concentrate with targeted applicator for décolletage, waist & thigh contouring",18500000,0.42,7770000,Low,Enhanced_ML_v2.0,1541666.67,647500,19.6,77.7,Low,2400,28000,0.35,High Risk,Not Recommended,"['makeup', 'shorts', 'makeup tutorial', 'beauty', 'hair']","['lipstick', 'blush', 'foundation', 'concealer', 'eyeliner']","['natural', 'vitamin c', 'vegan', 'collagen', 'organic']","['Serum', 'Mascara', 'Face Oil', 'Highlighter', 'Face Mask']","['Milk Makeup', 'Make Up For Ever', 'Kiehl's', 'NARS', 'E.l.f.']","['skincare', 'cosmetics', 'haircare']"
